05-29 14:16:07.641  1690  4287 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 2 task=Task{ea86e2b #1703 type=standard A=10289:com.whatsapp.w4b U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=1} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.whatsapp.w4b
05-29 14:20:00.392  1690  5558 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:05.397  1690  3300 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:05.432  1690  4314 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:23.453  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:30.688  1690  4321 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:33.838  1690  3300 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:51.815  1690  4287 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:20:54.875  1690  4314 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:22:03.761  1690  5142 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:22:06.717  1690  4959 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:22:16.697  1690  5142 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:22:20.499  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:22:40.933  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:23:52.606  1690  5146 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:23:54.617  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:35:45.370  1690  5901 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:36:28.213  1690  4287 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=4} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:36:35.614  1690  4287 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=4} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:36:39.461  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=5} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:40:08.991  1690  5146 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:40:15.232  1690  5146 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:40:15.262  1690  2736 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:05.602  1690  5901 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:07.050  1690  5070 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:07.072  1690  5146 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=2} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:10.091  1690  3029 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:13.098  1690  5901 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=3} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
05-29 14:46:17.701  1690  5909 D ActivityTaskManager:  setRequestedOrientationFreeForm: requestedOrientation= 1 task=Task{f43b15b #1704 type=standard A=10276:com.zhiliaoapp.musically U=0 visible=true visibleRequested=true mode=fullscreen translucent=false sz=4} MiuiFreeformServicesUtils.getFreeformIgnoreRequestOrientationList()= [com.miui.player, com.sqw.setdl.mi, com.youku.phone, com.tencent.gamehelper.smoba, com.taobao.litetao, com.live.shuoqiudi, com.baidu.homework, com.tencent.qqmusic, cn.xiaochuankeji.zuiyouLite, com.facebook.orca, com.android.browser, com.alibaba.android.rimet, com.miui.gallery, com.android.settings, com.tencent.letsgo]packageName= com.zhiliaoapp.musically
